1000-TURN LATENCY TEST RESULTS
================================================================================

User ID: latency_test_user
Total Time: 574.59 seconds
Total Memories: 40

PROCESSING LATENCIES - Extract + Store (ms):
Mean: 574.57
Median: 349.74
P95: 1333.14
P99: 1681.41

RETRIEVAL LATENCIES - Search + Rank (ms):
Mean: 293.90
Median: 296.07
P95: 378.58
P99: 426.19

DETAILED TURN DATA:
Turn     Process (ms)    Retrieve (ms)  
268      415.70          392.91         
269      552.01          422.46         
270      810.49          355.45         
271      395.35          370.47         
272      1164.02         374.24         
273      1608.39         364.22         
274      337.22          335.88         
275      318.89          318.89         
276      304.35          303.35         
277      353.09          351.41         
278      432.77          404.38         
279      387.45          387.45         
280      379.09          338.26         
281      324.34          294.45         
282      678.09          358.68         
283      1241.89         376.17         
284      819.13          381.39         
285      331.16          330.19         
286      373.28          371.64         
287      351.10          350.07         
288      407.28          381.16         
289      667.09          348.54         
290      1144.79         342.42         
291      341.38          320.64         
292      447.64          378.31         
293      1333.14         491.16         
294      379.44          376.35         
295      989.96          385.91         
296      321.54          321.54         
297      318.84          317.80         
298      389.77          347.76         
299      375.79          374.79         
300      516.95          340.08         
301      365.53          345.04         
302      398.60          355.92         
303      1328.22         361.35         
304      1205.09         407.09         
305      315.02          314.51         
306      421.47          419.48         
307      395.07          393.06         
308      1850.42         435.65         
309      401.43          276.26         
310      480.48          276.86         
311      313.28          266.02         
312      242.33          241.31         
313      946.15          332.54         
314      292.60          291.45         
315      273.49          272.26         
316      269.12          268.12         
317      1218.54         288.88         
318      323.58          281.91         
319      317.96          316.96         
320      344.99          302.95         
321      374.69          334.09         
322      1175.63         301.60         
323      991.18          312.48         
324      884.92          297.64         
325      285.26          284.25         
326      380.21          379.22         
327      415.20          413.57         
328      439.92          388.35         
329      549.61          337.21         
330      926.52          284.31         
331      293.90          267.92         
332      1387.59         420.77         
333      1292.37         276.96         
334      286.05          283.82         
335      1232.90         278.28         
336      266.16          266.16         
337      272.11          271.03         
338      288.66          256.76         
339      296.30          294.85         
340      419.67          291.06         
341      298.84          272.69         
342      548.31          271.78         
343      1632.44         317.51         
344      1112.96         333.06         
